;;;;;exact place in the cave not specified;;;;;;cave entrance (ulaz);;;;;;deep cave;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;
1Zrmanja_dnevnik terena_01.05.-07.05.2010;Crno Vrelo;Zrmanja Vrelo, Gra?ac, Zrmanja;1.5.2010.;;;;12,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zrmanja-Krupa;?UDE ŠPILJA;Obrovac – KEC;4.8.2006.;;13,4;;13,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Zrmanja_dnevnik terena_01.05.-07.05.2010;?udina pe?;?ude (Ga?ine), kanon Zrmanje, Obrovac, Zrmanja;2.5.2010.;;13,1;;12,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;?ulumova mala pe?ina;Kijevo;21.6.2024.;;12,9;;;13,7;92,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;?ulumova velika pe?ina;Kijevo;21.6.2024.;;13,6;;;14,2;91,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik istrazivanja Dubrovnik 08_2014_fin;Cvitanovi?;Rajko, Neven;23.8.2014.;;;;;;;;24,2;;;;88,9;Na ulazu/8h54min;;;;;;;15,3;;;;96,6;Dvorana kod provla?enja/10h02min;15,1;;;;98,5;Prva dvorana, na kraju spusta/11h31min;15,5;;;;100;Prvi lijevi kanala, odmah ispod ulaza/13h25min;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dnevnik_Whitley_predavanja_teren_fin;Dahna;Omerovi?i, Tomislavgrad, BiH;29.3.2012.;;;;;;;;9,1;9,2;9,1;8,5;92,2;ulazna dvorana;;;;;;;6,4;6,2;10,2;6,1;86,6;postaja oko sredine špilje kod Disparrhopalitesa;9,1;8,5;99;;100;Dvorana nakon provla?enja;7,2;5,9;;;92;Ulazna dvorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dnevnik_Whitley_predavanja_teren_fin;Dahna;Omerovi?i, Tomislavgrad, BiH;29.3.2012.;;;;;;;;9,1;9,2;9,1;8,5;92,2;ulazna dvorana;;;;;;;6,4;6,2;10,2;6,1;86,6;postaja oko sredine špilje kod Disparrhopalitesa;9,1;8,5;;;99;Dvorana nakon provla?enja:;9,1;8,4;;;100;U dvorani prije provla?enja, kod stalagmita;7,2;5,9;;;92;Ulazna dvorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Debela ljut;;3.4.2007.;;;;;;;;12,2;10,7;;;100;na kraju ulazne dvorane;15,6;14,9;;;;kraj špilje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Debela ljut;;3.4.2007.;;;;;;;;12,2;10,7;;;100;na kraju ulazne dvorane;;;;;;;15,6;14,9;;;;kraj špilje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Debela ljut – Ljuba? (11);"X=65 02, 207; Y=47 30,387 (skinuo Bibo)";26.3.2008.;;;;;;;;14,7;;;;;Ulaz;;;;;;;12,4;10,1;;;81;Od ulaza 25 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Deveterica;Zagorje, Vukoti?i, Putnikovi?;28.4.2019.;;11,7 – 12,1;;;12,1;83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik_terena_Atlas3_jug_jesen_2016_polufinalno;Devnja?a;kanjon Velike Paklenice;6.11.2016.;;16,2;;;16,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Slovenija;Dimnice;Materija, Istra, Slovenija;20.10.2010.;;;;;;;;;;;;;;;;;;;;6,7;6,1;;;100;siparu s lijeve strane:;8,3;7,8;;;100;Kanal kod šišmiša;9,6;9,2;;;100;Predzadnja dvorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Leptodirus i A3 - 9.-11.10.2015.;Dimnja?areva špilja;Lokve, G. kotar;10.10.2015.;;11,5;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peljesac;Divna špilja;uvala Divna, Donja Vru?ica;1.4.2019.;;13,4;;;;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Do?ina špilja;Velika Glavica, Blato, o. Mljet;11.4.2015.;;14,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dnevnik terena Bara?eve 2020_5 mjesecMM;Donja Bara?eva špilja;Nova Kršlja, Rakovica, Slunj;19.5.2020.;;;;;;;;;;;;;;;;;;;;9,9;;;;85;Kraj ograde, ulazni dio, measured with bijeli termohigro;10;;;;79;Pred suženjem na kraju špilje, measured with bijeli termohigro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dnevnik terena Bara?eve 28.02.-01.03.2020_final;Donja Bara?eva špilja;Nova Kršlja, Rakovica, Slunj;29.2.2020.;;9,9;11;;11;88;bijeli termohigro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vrgorac-Neretva-Metkovic;Dragina lipa jama;?elopek-Veki?i, Borovci, Metkovi?;3.11.2019.;;;;;;;;;;;;;;;;;;;;14;;;;;ispod ulazne vertikale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vrgorac-Neretva-Metkovic;Dragina lipa jama;?elopek-Veki?i, Borovci, Metkovi?;4.11.2019.;;;;;;;;;;;;;;14;;;;100;na dnu;14;;;;;pod ulaznom vertikalom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;DRINOVA 2 ŠPILJA;Bartulovi?i, Gornja Brela;29.6.2002.;;;;;;;;;;;;;;;;;;;;11,6;;;;99,9;Dvorana prije Ursusa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;DRINOVA 2 ŠPILJA;Bartulovi?i, Gornja Brela;23.3.2003.;;;;;;;;5,7;;;;;;Ulazna dvorana;;;;;;11,3;;;;;Kraj dvorane;11,0;;;;;Dvorana prije Ursusa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;DRINOVA 2 ŠPILJA;Bartulovi?i, Gornja Brela;23.3.2003.;;;;;;;;;;;;;;;;;;;;11,6;;;;99,9;Dvorana prije Ursusa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Drinova II;Drinova, Bartulovi?i, Gornja Brela, Biokovo;24.6.2017.;;11,2;11,2;;11,6;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Lika, Mosor, Biokovo_dnevnik terena_11.06.-25.06.2011;Drinov?uša jama;Bradari?a staje, Bradari?i, Tuki?i, Kotlenice, Dugopolje, Split;21.6.2011.;;7,4;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1DNEVNIK_Ucka_travanj2009_fin;Druška pe?;Potoki, Moš?eni?ka Draga, U?ka;24.4.2009.;;12,5;11,8;11,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;DUBOKA TREPETLJIKA;Kaoci;"20.6.2003.
";;;;;;;;;;;;;;2,8;;;;92,1;Dno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mosor;?UDERINA ŠPILJA;Križani, Dugopolje;7.5.2005.;;;;;;;;12,1;;;;;ulazna dvorana;11,7;8,4;;9,5;92;mjereno na kraju špilje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1DNEVNIK TERENA LEPTODIRUS, 19_06-23_06_2014.;?ulin ponor;Medvedica;22.6.2014.;;;;;;;;;;;;;;;;;;;;10,7;;10,1;11,8;92,2  ;sve mjereno prije Poljakovog slapa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dnevnik terena Bara?eve 2020_5 mjesecMM;Dumen?i?a špilja;Keseri, Gornji Lipovac, Stara Kršlja, Rakovica;30.5.2020.;;;;;;;;;;;;;;;;;;;;7,6;;;10,1;;U dvorani prije penja, measured with bijeli termohigro;;;7,3;;;lokvica di je skupljen Niphargus, 15 metara od ulaza kod siga s lijeve strane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dnevnik terena Bara?eve 28.02.-01.03.2020_final;Dumen?i?a špilja;Keseri, Gornji Lipovac, Stara Kršlja, Rakovica;29.2.2020.;;;;;;;;;;;;;;;;;;;;6,0;5,2;5,4;6,9;81;prvo proširenje nakon ulaznog dijela, bijeli termohigro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;?urovi?a jama;;31.10.2003.;;;;;;;;15,7;;;"16,6;16,9";;Ulaz, van špilje;;;;;;;17,4;;;17,2;95,8;Ulazni sipar;17,2;;;;98,7;Spoj s advoranom;17,2;;;;99;Zadnja dvorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Dubrovnik 2.-6.2014._final;?urovi?a špilja;?ilipi;06.6.2014.;;13,6;;;13,4;84,6 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik_terena_Atlas3_jug_jesen_2016_polufinalno;?urovi?a špilja;?ilipi;2.11.2016.;;18;17,9;;;97,2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HBSD neprojektni dnevnici 2020-2023;?utno;Liplje, Zdihovo;12.7.2021.;;;;;;;;;;;;;;;;;;;;8,5;8,5;;;;kraj (malo povišeno);7;7;;;;dolje (“glavni dio”);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Izvještaj Dinara.0;Dvojama;Troglav, Dinara;25.7.2012.;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Zrmanja-dnevnik terena_27.9.-3.10.2010;Frkina jama;Mar?eti?i, Cerovac, Gra?ac, Velebit;30.9.2010.;;6,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Gali?njak;Okuklje, o. Mljet;22.10.2015.;;13,6;;;13,5;65,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Gali?njak špilja;;10.4.2007.;;10,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dnevnik_Whitley_predavanja_teren_fin;Golodražnica pe?ina;Risan, Crna Gora;30.3.2012.;;15,2;;;14,8;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dnevnik_Whitley_predavanja_teren_fin;Golodražnica pe?ina;Risan, Crna Gora;31.3.2012.;;15,2;;;14,8;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnevnik_Crna Gora;Golodražnica pe?ina;Risan;24.4.2010.;;14,3;;13,6;14,7;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnevnik_Crna Gora;Golodražnica pe?ina;Risan, Crna Gora;31.3.2012.;;15,2;;;14,8;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik_BiH_CG_24.10.-1.11.2015_fin;Golubinja pe?ina;Žanjev Do, Njeguši;29.10.2015.;;10,3;;;11,5;93,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Golubinka;Ri?ica, Trsteno;5.4.2007.;;10,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Lika, Mosor, Biokovo_dnevnik terena_11.06.-25.06.2011;Golubinka kod Vu?evice;Vu?evica, Kozjak, Split;15.6.2011.;;8,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vrgorac-Neretva-Metkovic;Golubinka pored Sinkovi?a staja;Sinkovi?a staje, Sv. Paškal, Gradac;5.11.2019.;;10;10;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vrgorac-Neretva-Metkovic;Golubinka u gaju;Baleti?i, Zavojane, Vrgorac;30.4.2018.;;7,8;7,1;;8;77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik Krka 12 2012, sh;Golubinka u Grulovi?ima;Grulovi?i, Kistanje;18.12.2012.;;13,5;12,5;;;87,8;kestrel (nije precizan);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zrmanja-Krupa;GOLUBINKA VIŠE MRŠI?A STRANE;zaselak Mrši?i, Bogatnik, Bukovica;5.8.2006.;;;;;;;;;;;;;;7,1;6,9;;;100;Na dnu dnu;7,8;7,4;;;100;Na prvom dnu ispod ulaza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mljet;Golubnica;Saplunara, o. Mljet;10.4.2015.;;18,9;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zadarsko zalede;Golubnja?a;Žegar, Obrovac;14.7.2024.;;;;;;;;;;;;;;;;;;;;12,7;12,7;;13;95,7;kanal nakon penja desno gore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zadarsko zalede;Golubnja?a kod Žegara;Komazeci, Ervenik, Kaštel Žegarski, Obrovac;24.8.2024.;;13,4;;;14,5;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;Golubnja?a kod Žegara;Kaštel Žegarski;7.7.2017.;;11,2;;;11;73;možda se nije 'temperirao', teško da je vlaga tako niska, mislimo da mu treba više vremena, ali nismo mogli više ?ekati);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Zrmanja-dnevnik terena_27.9.-3.10.2010;Golubnja?a špilja;Komazeci, Kaštel Žegarski, Obrovac;1.10.2010.;;12;;;;94,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zrmanja-Krupa;GOLUBNJA?A ŠPILJA (Golubnja?a kod Žegara);Kaštel žegarski (u suplementu piše Golubnja?a špilja, mislim da je Golubnja?a kod Žegara pravi, Ban?o ima nacrt, treba pogledat);2.8.2006.;;12,2;11,7;;;100;;;;;;;;;;;;;;10,5;9,8;;;92;Na siparu, na kraju ulazne dvorane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik_BiH_CG_24.10.-1.11.2015_fin;Goranova pe?ina;Izvor Duman, Livno (sin. Duman);1.11.2015.;;9,3;;;9,7;97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dnevnik terena Bara?eve 2020_5 mjesecMM;Gornja Bara?eva špilja;Nova Kršlja, Rakovica, Slunj;31.5.2020.;;;;;;;;;;;;;;;;;;;;10,4;10;;12,3;98,2;ploha ispod špage:;10,0;10;;11,2;98;ploha iznad špage;10,1;10,3;;12,6;75;ploha kod reflektora, brojala P. Bregovi?, zapisni?ar Natalija Sudar:;10;10,3;;10,7;88;b) ploha kod uskog kanala (2. ploha) – plohu smo smanjili za pola metra jer nismo stigli sve prebrojati u 20 min – brojala P. Bregovi?, zapisni?ar Natalija Sudar:;9 (blizu lampe?);9 (blizu lampe?);;11,4;89;Ploha na ulazu kod guana – Zapisni?ar Lea Ružanovi?, sakuplja? Ivana Mišeri?;9,8;9,4;;12;86;Ploha prije mosti?a – Zapisni?ar Lea Ružanovi?, sakuplja? Ivana Mišeri?;;;;;;;;;;;;;;;;;;;;;;;;
Dnevnik terena Bara?eve 28.02.-01.03.2020_final;Gornja Bara?eva špilja;Nova Kršlja, Rakovica, Slunj;1.3.2020.;;;;;;;;;;;;;;;;;;;;10,6;10;12,6;;77;Uski kanal  (bijeli termohigro);10;10;;11,8;82;Nakon špage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;GORNJA JAMA NA GRLJAKU;Grljak, Bartulovi?i, Gornja Brela;22.3.2004.;;3,3;;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik_terena_Atlas3_jug_jesen_2016_polufinalno;Gorska jama;Janjina, Pelješac;3.11.2016.;;;;;;;;;;;;;;10,6;;;;;kraj špilje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Gorska jama;;3.11.2003.;;16;15;;;99,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HBSD neprojektni dnevnici 2020-2023;Gospodska špilja;Vrlika;2.8.2021.;;;;;;;;;;;;;;;;;;;;11;;;11,6;96;iznad vertikale;9,9;;9,8;;;ispod vertikale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena_12.07.-17.07.2010_Leptomeson & Anthroherpon;Grabovica pe?ina;Slivnica (Grebci), Hercegovina;15.7.2010.;;;;;;;;;;;;;;12, 1;;11, 9;;94, 5;mjereno u zadnjoj dvorani na desno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;GRADSKA SPILA;Župa;"25.5.2004.
";;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;GRADSKA SPILA;Župa;19.11.2005.;;2,8;6,7;;;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo svi tereni_Kronoloski_pregled rada_fin;GRADSKA SPILA;Župa;4.4.2006.;;7,8;6,9;;8,4;99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;GRADSKA SPILA;Župa;21.6.2007.;;7,8;6,9;;8,4;99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Gradska špilja;Župa, Biokovo;15.5.2016.;;10,1;10,1;;10,9;97,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena Hvar 2011. 03;Grap?eva špilja;Humac, Jelsa, o. Hvar;3.5.2011.;;13,6;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024_09_Biokovo – Hvar Bioblitz dnavmik_30.9.-5.10.2024_;Grap?eva špilja;Humac, Hvar;3.10.2024.;;17,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otoci - Hvar Solta Brac Vis;GRAP?EVA ŠPILJA;HUMAC, JELSA, O. HVAR;4.4.2005.;;11,1;10,6;;11,5;99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena BiH-CG 04-12.11.2015_final.docx;Grbo?ica;Trnovo, opština Bar, Virpazar,Crna Gora;9.11.2015.;;;;;12,6;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnevnik_Crna Gora;Grbo?ica;Trnovo, opština Bar, Virpazar,Crna Gora;9.11.2015.;;;;;12,6;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1DNEVNIK UCKA LIPANJ 2009;Grnja?a špilja;Grnja?, Lovranska draga, Lovran;24.6.2009.;;7,7;;7,6;7,9;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Papuk;GROB GROFA JANKOVI?A;;22.4.2006.;;9,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Teren Gorski kotar_dnevnik terena_ 22.2.-23.2.2014;GVOZDENICA;;23.2.2014.;;8,7;8,2;8,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1DNEVNIK LASTOVO 2007_cor karko;Hrastovska špilja;Hrastovo polje, Lastovo;2.10.2007.;;16,7;15,7;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1dnevnik_lastovo_03_2008_fin;Hrastovska špilja;Hrastovo polje, Lastovo;3.3.2008.;;9,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lastovo;Hrastovska špilja;Hrastovo polje, Lastovo;1.4.2025.;;11,2;;;;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dnevnik_Whitley_predavanja_teren_fin;Hrustova?a;Hrustovo, Sanski Most, BiH;27.3.2012.;;;;;;;;;;;;;;;;;;;;12,0;;11,7;11,7;90,5;Kraj postranog kanala;;11,2;;11,5;100;Kraj glavnog kanala;;11,2;11,3;11,5;100;Kod jezera;;9,6;;10,3;100;Ve?a dvorana:nakon šišmiša;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dnevnik_Whitley_predavanja_teren_fin;Hrustova?a;Hrustovo, Sanski Most, BiH;27.3.2012.;;;;;;;;;;;;;;;;;;;;12,0;;11,7;11,7;90,5;Kraj postranog kanala:;11,5;11,2;;;100;Kraj glavnog kanala;11,5;11,2;11,3;;100;Kod jezera;10,3;9,6;;;100;Ve?a dvorana:nakon šišmiša;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dnevnik_Whitley_predavanja_teren_fin;Ilina pe?ina;brdo Kli?anj, Trebinje, BiH;3.4.2011.;;10,2;;;9,7;84,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dnevnik_Whitley_predavanja_teren_fin;Ilina pe?ina;brdo Kli?anj, Trebinje, BiH;3.4.2011.;;10,2;;;9,7;84,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Dnevnik terena sjeverni Velebit_28.07.-06.08.2016_final;Ivina jama;Stipani?eva kr?evina, Krasno, Oto?ac, Velebit;30.7.2016.;;;;;7,5;88,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Izvor Duboka Ljuta;Plat loc. typ.(Izvor 2 u Mlinima, Mlini-krivo u katastru);3.4.2007.;;;;13,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
